"","X.1","X","sex","vowel","stress","word","dur","pre_seg","fol_seg","speaker","community","class","point","word_count","pre_place","fol_place","F1","F2"
"5680",7550,7550,"Male","AY",1,"five",0.1,"F","V",101,"Anglo","LWC",4,3,"labial","labial",450.264,1159.998
"5681",7551,7551,"Male","IY",1,"week",0.05,"W","K",101,"Anglo","LWC",2,1,"dorsal","dorsal",396.652,1544.916
"5682",7552,7552,"Male","IY",1,"week",0.05,"W","K",101,"Anglo","LWC",4,1,"dorsal","dorsal",396.352,1577.067
"5683",7555,7555,"Male","EY",1,"breaks",0.1,"R","K",101,"Anglo","LWC",2,2,"coronal","dorsal",427.846,1379.075
"5684",7556,7556,"Male","EY",1,"breaks",0.1,"R","K",101,"Anglo","LWC",4,2,"coronal","dorsal",395.09,1422.741
"5685",7557,7557,"Male","UW",1,"too",0.1,"T","B",101,"Anglo","LWC",2,5,"coronal","labial",402.242,1478.22
"5686",7558,7558,"Male","UW",1,"too",0.1,"T","B",101,"Anglo","LWC",4,5,"coronal","labial",376.578,1474.033
"5687",7561,7561,"Male","AY",1,"alright",0.05,"R","T",101,"Anglo","LWC",2,1,"coronal","coronal",355.782,1146.39
"5688",7562,7562,"Male","AY",1,"alright",0.05,"R","T",101,"Anglo","LWC",4,1,"coronal","coronal",345.925,1214.73
"5689",7563,7563,"Male","EY",1,"exploitation",0.09,"T","SH",101,"Anglo","LWC",2,1,"coronal","coronal",483.321,1312.978
"5690",7564,7564,"Male","EY",1,"exploitation",0.09,"T","SH",101,"Anglo","LWC",4,1,"coronal","coronal",417.688,1457.434
"5691",7565,7565,"Male","UW",1,"too",0.12,"T","L",101,"Anglo","LWC",2,5,"coronal","coronal",399.838,1420.049
"5692",7566,7566,"Male","UW",1,"too",0.12,"T","L",101,"Anglo","LWC",4,5,"coronal","coronal",402.182,1353.354
"5693",7567,7567,"Male","UW",1,"too",0.11,"T","L",101,"Anglo","LWC",2,5,"coronal","coronal",397.434,1424.685
"5694",7568,7568,"Male","UW",1,"too",0.11,"T","L",101,"Anglo","LWC",4,5,"coronal","coronal",371.769,1394.179
"5695",7569,7569,"Male","EY",1,"days",0.09,"D","Z",101,"Anglo","LWC",2,2,"coronal","coronal",394.368,1342.737
"5696",7570,7570,"Male","EY",1,"days",0.09,"D","Z",101,"Anglo","LWC",4,2,"coronal","coronal",388.839,1447.415
"5697",7571,7571,"Male","EY",1,"way",0.05,"W","DH",101,"Anglo","LWC",2,7,"dorsal","coronal",370.147,1353.204
"5698",7572,7572,"Male","EY",1,"way",0.05,"W","DH",101,"Anglo","LWC",4,7,"dorsal","coronal",352.356,1366.962
"5699",7573,7573,"Male","IY",1,"be",0.08,"B","B",101,"Anglo","LWC",2,6,"labial","labial",370.327,1488.688
"5700",7574,7574,"Male","IY",1,"be",0.08,"B","B",101,"Anglo","LWC",4,6,"labial","labial",360.53,1555.982
"5701",7575,7575,"Male","EY",1,"days",0.06,"D","Z",101,"Anglo","LWC",2,2,"coronal","coronal",397.133,1374.439
